ECOMMERCE — MAXME BIO,,,
Período:,Março 2026,,Plataforma: Shopify
,,,,
MÉTRICA,MARÇO 2026,FEV 2026 (ref),VAR.
Vendas brutas,R$ 1.049.000,58,,+17%
Descontos,-R$ 267.442,91,,+27%
Devoluções,R$ 0,00,,—
Vendas líquidas,R$ 781.557,67,,+15%
Custos de envio,R$ 28.170,48,,+32%
Taxas de devolução,R$ 0,00,,—
Impostos,R$ 0,00,,—
Vendas totais,R$ 809.728,15,,+15%
,,,,
Pedidos,2596,,+24%
Pedidos concluídos,1,,—
Ticket médio bruto,R$ 404,09,,
Ticket médio líquido,R$ 301,06,,
Taxa de clientes recorrentes,44,97%,+28%
,,,,
INSIGHTS,,,,
- Março foi o melhor mês do trimestre,,,,
- Alta concentração de vendas em torno do dia 15 (pico visível no gráfico Shopify),,,,
- Desconto represente 25,5% do bruto — atenção à margem,,,,
- Zero devoluções no mês,,,,
