WHATSAPP — MAXME BIO,,,
Período:,01/03/2026 a 31/03/2026,,Plataforma: Revi
,,,,
VISÃO GERAL (REVI),,,,
MÉTRICA,MARÇO 2026,MÊS ANTERIOR,VAR.
Receita total influenciada,R$ 227.315,00,,
→ Marketing (campanhas),R$ 137.875,00,,
→ Automações,R$ 89.440,00,,
Ticket médio,R$ 311,00,,
LTV,R$ 329,00,,
Frequência de compra,1,0x,,
Qualidade do número,Alta,,
,,,,
CAMPANHAS,,,,
MÉTRICA,MARÇO 2026,MÊS ANTERIOR,VAR.
Total de campanhas,8,,
Total de disparos,13410,,
Investimento em campanhas,R$ 6.956,95,,
Receita das campanhas,R$ 148.303,62,,
ROI de campanhas,~21x,,
Taxa de engajamento,11,43%,,
Bounce rate,6,99%,,
,,,,
CAMPANHA DESTAQUE DO MÊS,,,,
Faturamento,R$ 34.061,87,,
Custo total,R$ 1.155,00,,
ROI estimado,29,5x,,
Ticket médio,R$ 391,52,,
Taxa de engajamento,9,70%,,
Posição histórica,3ª melhor receita de campanha desde o início dos disparos,,
,,,,
INSIGHTS,,,,
- ROI de campanhas (~21x) muito acima da média de mercado,,
- Campanha do mês ficou entre as 3 melhores de toda a história da Maxme Bio no WhatsApp,,
- Automações representam 39% da receita total influenciada,,
- Engajamento de 11,43% indica lista qualificada,,
